Location,White,Black,Hispanic,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Two Or More Races,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown,Cases_White_proportion,Cases_Black_proportion,Cases_LatinX_proportion,Cases_Asian_proportion,Cases_AIAN_proportion,Cases_NHPI_proportion,Cases_Multiracial_proportion,Cases_Other_proportion,Cases_Unknown_proportion,Cases_Ethnicity_Hispanic_proportion,Cases_Ethnicity_NonHispanic_proportion,Cases_Ethnicity_Unknown_proportion,Deaths_White_proportion,Deaths_Black_proportion,Deaths_LatinX_proportion,Deaths_Asian_proportion,Deaths_AIAN_proportion,Deaths_NHPI_proportion,Deaths_Multiracial_proportion,Deaths_Other_proportion,Deaths_Unknown_proportion,Deaths_Ethnicity_Hispanic_proportion,Deaths_Ethnicity_NonHispanic_proportion,Deaths_Ethnicity_Unknown_proportion
United States,0.6,0.12,0.18,0.01,0.06,0,0.03,3933218.0,914013.0,468385.0,537799.0,68379.0,28076.0,8644.0,15241.0,204164.0,1692913.0,700051.0,1299894.0,1512513.0,138304.0,65807.0,28856.0,19544.0,5227.0,987.0,152.0,302.0,4463.0,12969.0,21132.0,101253.0,15142.0,0.23238300038289258,0.11908442400090714,0.13673256859904537,0.017385001289020846,0.007138175407516187,0.0021976915594304714,0.003874944129717702,0.051907623732017905,0.43041423079015706,0.17798428665789692,0.33049121609837034,0.3845484791333712,0.4758141485423415,0.20864183248496065,0.14131189264229524,0.03779355622397038,0.007136453031004165,0.001099028227672374,0.0021835955576122164,0.032269493290143454,0.0937716913465988,0.15279384544192504,0.7321046390559925,0.10948345673299398
Alabama,0.66,0.26,0.04,0,0.01,,0.02,71813.0,22694.0,20884.0,,267.0,,,,3957.0,24002.0,5457.0,36516.0,29832.0,1364.0,672.0,561.0,,4.0,,,,27.0,100.0,45.0,1126.0,193.0,0.3160152061604445,0.2908108559731525,,0.0037179897790093714,,,,0.055101444028240014,0.3342291785609848,0.07598902705638255,0.5084873212371019,0.4154122512636988,0.49266862170087977,0.4112903225806452,,0.002932551319648094,,,,0.019794721407624633,0.07331378299120235,0.032991202346041054,0.8255131964809385,0.14149560117302054
Alaska,0.6,0.03,0.07,0.16,0.06,0.01,0.07,2132.0,750.0,49.0,,67.0,282.0,76.0,61.0,38.0,809.0,117.0,1045.0,970.0,19.0,11.0,0.0,,2.0,4.0,1.0,0.0,0.0,1.0,0.0,18.0,1.0,0.3517823639774859,0.02298311444652908,,0.03142589118198874,0.13227016885553472,0.03564727954971857,0.028611632270168854,0.017823639774859287,0.3794559099437148,0.054878048780487805,0.4901500938086304,0.4549718574108818,0.5789473684210527,0.0,,0.10526315789473684,0.21052631578947367,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0,0.9473684210526315,0.05263157894736842
Arizona,0.54,0.04,0.32,0.04,0.03,0,0.02,150609.0,24130.0,3246.0,34645.0,1096.0,9085.0,,,3034.0,75373.0,34645.0,40591.0,75373.0,2974.0,1128.0,86.0,786.0,32.0,394.0,,,53.0,495.0,786.0,1693.0,495.0,0.160216188939572,0.021552496862737285,0.23003273376757033,0.007277121553160834,0.06032176031976841,,,0.020144878460118584,0.5004548200970725,0.23003273376757033,0.26951244613535713,0.5004548200970725,0.3792871553463349,0.028917283120376596,0.26429051782111634,0.010759919300605245,0.1324815063887021,,,0.017821116341627436,0.1664425016812374,0.26429051782111634,0.5692669804976462,0.1664425016812374
Arkansas,0.72,0.15,0.08,0.01,0.02,0,0.03,35246.0,17406.0,7521.0,,498.0,101.0,1985.0,,4638.0,3097.0,8411.0,26835.0,0.0,380.0,214.0,100.0,,6.0,0.0,30.0,,27.0,3.0,41.0,336.0,3.0,0.4938432729955172,0.21338591613232707,,0.014129262895080293,0.0028655733983998185,0.056318447483402374,,0.13158940021562732,0.08786812687964592,0.23863700845486013,0.7613629915451399,0.0,0.5631578947368421,0.2631578947368421,,0.015789473684210527,0.0,0.07894736842105263,,0.07105263157894737,0.007894736842105263,0.10789473684210527,0.8842105263157894,0.007894736842105263
California,0.37,0.05,0.39,0,0.15,0,0.03,413576.0,46562.0,11396.0,146903.0,14920.0,587.0,1590.0,1967.0,40455.0,149196.0,146903.0,117477.0,149196.0,7870.0,2347.0,660.0,3455.0,1008.0,27.0,41.0,41.0,93.0,198.0,3455.0,4217.0,198.0,0.11258390235410179,0.027554790413370216,0.3552019459543107,0.036075594328491015,0.0014193280074278971,0.003844517089966536,0.0047560786892856454,0.0978175716192429,0.36074627154380334,0.3552019459543107,0.284051782501886,0.36074627154380334,0.29822109275730624,0.08386277001270648,0.43900889453621345,0.1280813214739517,0.0034307496823379924,0.0052096569250317665,0.0052096569250317665,0.01181702668360864,0.025158831003811943,0.43900889453621345,0.5358322744599746,0.025158831003811943
Colorado,0.68,0.04,0.22,0,0.03,0,0.03,41698.0,12771.0,1874.0,13897.0,840.0,204.0,127.0,381.0,285.0,11311.0,13897.0,16482.0,11311.0,1643.0,1020.0,109.0,361.0,53.0,11.0,5.0,20.0,6.0,53.0,361.0,1224.0,53.0,0.3062736821909924,0.04494220346299583,0.3332773754136889,0.02014485107199386,0.004892320974627081,0.0030457096263609767,0.00913712887908293,0.006834860185140774,0.2712600124706221,0.3332773754136889,0.3952707563911938,0.2712600124706221,0.620815581253804,0.06634205721241632,0.21972002434570906,0.03225806451612903,0.006695069993913573,0.0030432136335970784,0.012172854534388313,0.0036518563603164943,0.03225806451612903,0.21972002434570906,0.7449786975045648,0.03225806451612903
Connecticut,0.66,0.10,0.17,0,0.05,,0.02,48223.0,17226.0,6375.0,9249.0,695.0,44.0,,143.0,293.0,14198.0,9249.0,24776.0,14198.0,4406.0,3230.0,651.0,380.0,48.0,2.0,,32.0,21.0,42.0,380.0,3984.0,42.0,0.35721543661738175,0.13219832859838665,0.19179644567944756,0.01441220994131431,0.0009124276797378844,,0.0029653899591481243,0.006075938867345458,0.29442382265723827,0.19179644567944756,0.5137797316633141,0.29442382265723827,0.7330912392192465,0.14775306400363142,0.08624602814344076,0.010894235133908307,0.00045392646391284613,,0.007262823422605538,0.004766227871084884,0.009532455742169769,0.08624602814344076,0.9042215161143895,0.009532455742169769
Delaware,0.62,0.21,0.09,0,0.04,,0.03,13792.0,4584.0,3529.0,3605.0,192.0,,,,661.0,1221.0,3605.0,8966.0,1221.0,527.0,327.0,135.0,35.0,1.0,,,,6.0,23.0,35.0,469.0,23.0,0.3323665893271462,0.255872969837587,0.2613834106728538,0.013921113689095127,,,,0.04792633410672854,0.08852958236658932,0.2613834106728538,0.6500870069605569,0.08852958236658932,0.6204933586337761,0.25616698292220114,0.06641366223908918,0.0018975332068311196,,,,0.011385199240986717,0.04364326375711575,0.06641366223908918,0.889943074003795,0.04364326375711575
Florida,0.53,0.15,0.26,0,0.03,0,0.02,379619.0,78227.0,52834.0,93126.0,,,,,15553.0,139879.0,93126.0,120581.0,165912.0,5459.0,2515.0,1061.0,1358.0,,,,,185.0,340.0,1358.0,3502.0,599.0,0.20606713573345908,0.13917638474365088,0.24531438099778988,,,,,0.04097002520948635,0.3684720733156138,0.24531438099778988,0.31763689383302735,0.4370487251691828,0.4607070892104781,0.1943579410148379,0.24876350980032974,,,,,0.033888990657629604,0.062282469316724674,0.24876350980032974,0.6415094339622641,0.10972705623740611
