State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other,Cases_Unknown,Cases_Ethnicity_Hispanic,Cases_Ethnicity_NonHispanic,Cases_Ethnicity_Unknown,Deaths_Total,Deaths_White,Deaths_Black,Deaths_LatinX,Deaths_Asian,Deaths_AIAN,Deaths_NHPI,Deaths_Multiracial,Deaths_Other,Deaths_Unknown,Deaths_Ethnicity_Hispanic,Deaths_Ethnicity_NonHispanic,Deaths_Ethnicity_Unknown
AK,2132,750,49,,67,282,76,61,38,809,117,1045,970,19,11,0,,2,4,1,0,0,1,0,18,1
AL,71813,22694,20884,,267,,,,3957,24002,5457,36516,29832,1364,672,561,,4,,,,27,100,45,1126,193
AR,35246,17406,7521,,498,101,1985,,4638,3097,8411,26835,0,380,214,100,,6,0,30,,27,3,41,336,3
AS,,,,,,,,,,,,,,,,,,,,,,,,,,
AZ,150609,24130,3246,34645,1096,9085,,,3034,75373,34645,40591,75373,2974,1128,86,786,32,394,,,53,495,786,1693,495
CA,413576,46562,11396,146903,14920,587,1590,1967,40455,149196,146903,117477,149196,7870,2347,660,3455,1008,27,41,41,93,198,3455,4217,198
CO,41698,12771,1874,13897,840,204,127,381,285,11311,13897,16482,11311,1643,1020,109,361,53,11,5,20,6,53,361,1224,53
CT,48223,17226,6375,9249,695,44,,143,293,14198,9249,24776,14198,4406,3230,651,380,48,2,,32,21,42,380,3984,42
DC,11529,2343,5637,,178,27,30,,2976,338,3116,6857,1556,580,62,428,76,8,,,,6,0,76,504,0
DE,13792,4584,3529,3605,192,,,,661,1221,3605,8966,1221,527,327,135,35,1,,,,6,23,35,469,23
FL,379619,78227,52834,93126,,,,,15553,139879,93126,120581,165912,5459,2515,1061,1358,,,,,185,340,1358,3502,599
GA,152302,35048,39008,20562,1837,89,153,,4191,51414,20562,67284,64456,3335,1503,1516,196,53,5,7,,15,40,196,3074,65
GU,332,35,,,126,,128,,27,16,,,,5,,,,,,,,,5,,,5
HI,1435,221,10,,382,,405,,32,385,,,,25,,,,,,,,,25,,,
IA,40081,26456,3206,,2004,400,400,,400,7215,8417,25654,6413,812,649,40,,24,8,8,,0,81,56,657,97
ID,16322,7861,207,,140,119,46,563,1921,5465,2939,5674,7708,135,124,2,,2,2,,,1,0,14,117,4
IL,166476,37393,27704,50999,4497,230,395,,6190,39068,50999,76409,39068,7540,3268,2024,1531,349,10,9,,51,298,1531,5711,105
IN,58673,26963,6696,,774,,,,9848,14392,6472,19909,32292,2863,1720,377,,14,,,,359,393,53,1395,1218
KS,24104,15587,1780,,888,166,,,1282,4401,8094,10582,5428,308,216,64,,9,2,,,9,8,40,255,13
KY,24540,12843,2044,,480,77,37,965,,8094,2454,13587,8499,677,515,92,,8,0,,16,,46,25,577,75
LA,99354,31163,36693,,4463,217,115,,8234,18469,,,99354,3670,1679,1803,,23,4,5,,18,138,73,3303,294
MA,114320,35350,10731,22344,2409,,,,6106,37380,22344,54596,37380,8468,6366,693,586,218,,,,545,60,586,7822,60
MD,80172,16887,23503,20505,1532,,,,3773,13972,20505,45695,13972,3405,1454,1384,388,131,,,,36,12,388,3005,12
ME,3723,2253,848,,95,7,2,25,115,378,146,2956,621,118,106,3,,,,,,0,9,0,98,20
MI,83730,34385,22633,,1691,323,,5558,5003,14137,6698,54424,22607,6388,3318,2525,,80,19,,103,122,221,127,5302,958
MN,47961,21457,9842,,3153,405,107,807,5874,6316,7554,9652,30755,1592,1239,152,,67,31,3,22,20,58,67,1460,65
MO,36063,16950,8294,,,,,1082,2164,7573,3757,22294,10013,1159,680,391,,,,,10,32,44,32,987,139
MP,38,,,,,,,,,38,,,,2,,,,,,,,,2,,,
MS,47071,13476,20721,1795,149,1165,,,3670,6095,1795,29552,15724,1423,582,715,24,0,76,,,16,10,24,1272,127
MT,2813,1672,15,,8,318,,,32,769,137,1875,801,42,17,,,,10,,,,15,,,
NC,105001,40399,17314,,1301,911,210,,12039,32827,29052,39004,36945,1698,945,536,,25,25,4,,106,57,166,1410,122
ND,5367,,,,,,,,,5367,,,,88,,,,,,,,,88,,,
NE,23486,13600,1400,,1300,256,33,,1600,5297,9400,8300,5786,311,237,23,,18,7,0,,12,14,74,202,35
NH,6295,4012,325,657,164,,,,246,891,657,4747,891,402,375,9,11,4,,,,1,2,11,389,2
NJ,177645,38813,18328,32730,5437,,,,12164,70173,32730,74742,70173,15707,7326,2476,2730,745,,,,243,2187,2730,10790,2187
NM,17828,2347,324,6722,123,7159,,,,1153,6722,9953,1153,591,98,4,59,1,236,,,,193,59,339,193
NV,38657,7023,1949,7920,1735,107,,,3868,16055,7920,14682,16055,704,288,70,102,82,4,,,11,147,102,455,147
NY,408886,,,,,,,,,408886,,,,28132,8597,6329,6665,1683,,,,1842,3016,6665,18451,3016
OH,78742,37618,20518,,2149,95,147,2359,5420,10436,5283,54505,18954,3235,2454,627,,36,1,1,39,24,53,71,3077,87
OK,27301,15339,2001,,1556,2099,,,1091,5215,5788,16025,5488,474,355,30,,11,42,,,11,25,21,407,46
OR,15393,6378,589,,491,350,377,342,5032,1834,5852,7601,1940,271,197,6,,12,3,6,2,23,22,34,210,27
PA,103396,32200,14000,,1500,,,,973,54723,8200,23300,71900,7063,5018,1484,,151,,,,339,71,418,6574,71
PR,13038,,,,,,,,,13038,,,,185,,,,,,,,,185,,,
RI,18062,4939,1671,6171,,,,,493,4788,6171,7103,4788,997,662,51,85,,,,,13,186,85,726,186
SC,75042,24682,18100,,548,,,,4936,26774,6680,32794,35567,1285,566,485,,11,,,,34,185,44,928,311
SD,8077,3071,995,1162,716,1320,,,813,0,1162,6915,0,119,,,,,,,,,119,,,
TN,84417,35281,16107,,832,97,69,,12059,19972,15996,44823,23598,888,489,319,,15,0,2,,55,8,83,793,12
TX,351618,7428,3491,11999,671,,,,148,327881,11999,11738,327881,4348,329,95,229,15,,,,1,3679,229,440,3679
UT,35578,13808,886,13994,799,769,1387,,4384,3965,13994,17619,3965,260,129,5,63,13,21,14,,22,13,63,184,13
VA,80393,17960,13324,24824,2460,96,,289,1854,19586,24824,35983,19586,2051,1112,484,226,117,2,,0,29,81,226,1744,81
VI,336,,,,,,,,,336,,,,7,,,,,,,,,7,,,
VT,1366,1124,151,,53,2,,,29,7,50,1311,5,56,53,,,2,,,,1,0,0,56,0
WA,49247,11704,1743,13990,1715,509,953,699,753,17181,13990,18076,17181,1468,946,49,198,123,31,16,17,33,55,198,1215,55
WI,48583,29339,7478,,1574,460,,,4778,4954,12182,30404,5997,872,611,199,,23,10,,,15,14,104,755,13
WV,5461,4290,411,,,,,,759,1,,,,102,58,3,,,,,,,41,,,
