state,district,school,ap,type,total,American Indian/Alaska Native,Asian,Black,Hispanic,Native Hawaiian/Pacific Islander,Two or More Races,White
ALABAMA,Al Inst Deaf And Blind,Alabama School For Blind,No,total,112,2,2,49,2,0,2,55
ALABAMA,Al Inst Deaf And Blind,Alabama School For Deaf,No,total,186,0,7,76,19,0,2,82
ALABAMA,Al Inst Deaf And Blind,Helen Keller School,No,total,83,0,0,31,7,0,2,43
ALABAMA,Alabama School of Fine Arts,Alabama School of Fine Arts,Yes,ap,192,0,37,28,0,2,7,118
ALABAMA,Alabama School of Fine Arts,Alabama School of Fine Arts,Yes,total,363,2,40,88,10,2,7,214
ALABAMA,Alabama Youth Services,Alabama Youth Services,No,total,908,14,0,554,0,0,17,323
ALABAMA,Alabaster City,Thompson High School,Yes,ap,265,2,10,55,34,0,4,160
ALABAMA,Alabaster City,Thompson High School,Yes,total,1875,5,22,394,262,2,19,1171
ALABAMA,Albertville City,Albertville High Sch,Yes,ap,187,0,2,2,40,0,4,139
ALABAMA,Albertville City,Albertville High Sch,Yes,total,1295,4,7,40,481,2,13,748
ALABAMA,Alexander City,Benjamin Russell High Sch,Yes,ap,202,0,2,25,0,0,0,175
ALABAMA,Alexander City,Benjamin Russell High Sch,Yes,total,946,0,7,349,16,2,10,562
ALABAMA,Andalusia City,Andalusia High Sch,Yes,ap,9,0,0,2,0,0,0,7
ALABAMA,Andalusia City,Andalusia High Sch,Yes,total,479,0,4,172,10,0,4,289
ALABAMA,Anniston City,Anniston High Sch,Yes,ap,63,0,0,55,4,0,0,4
ALABAMA,Anniston City,Anniston High Sch,Yes,total,513,0,0,487,10,0,0,16
ALABAMA,Arab City,Arab High Sch,Yes,ap,157,0,2,2,2,0,0,151
ALABAMA,Arab City,Arab High Sch,Yes,total,754,2,10,4,16,0,4,718
ALABAMA,Athens City,Athens High Sch,Yes,ap,97,0,2,7,4,0,2,82
ALABAMA,Athens City,Athens High Sch,Yes,total,1241,13,19,298,148,4,5,754
ALABAMA,Attalla City,Etowah High Sch,Yes,ap,175,0,0,10,7,0,4,154
ALABAMA,Attalla City,Etowah High Sch,Yes,total,664,0,0,91,49,0,25,499
ALABAMA,Auburn City,Auburn High Sch,Yes,ap,649,0,136,49,22,0,0,442
ALABAMA,Auburn City,Auburn High Sch,Yes,total,1751,4,181,451,55,2,22,1036
ALABAMA,Autauga County,Autaugaville Sch,No,total,334,0,0,322,0,0,2,10
ALABAMA,Autauga County,Billingsley High Sch,Yes,ap,72,0,0,16,0,0,4,52
ALABAMA,Autauga County,Billingsley High Sch,Yes,total,643,0,4,145,0,0,16,478
ALABAMA,Autauga County,Marbury Sch,Yes,ap,70,0,2,4,0,0,0,64
ALABAMA,Autauga County,Marbury Sch,Yes,total,549,0,4,79,11,0,4,451
ALABAMA,Autauga County,Prattville High Sch,Yes,ap,249,0,10,16,10,0,2,211
ALABAMA,Autauga County,Prattville High Sch,Yes,total,2021,10,52,535,49,2,16,1357
ALABAMA,Baldwin County,Baldwin Co High Sch,Yes,ap,378,7,4,49,4,0,16,298
ALABAMA,Baldwin County,Baldwin Co High Sch,Yes,total,1101,16,7,295,13,0,46,724
ALABAMA,Baldwin County,Daphne High Sch,Yes,ap,534,4,4,73,22,0,19,412
ALABAMA,Baldwin County,Daphne High Sch,Yes,total,1200,4,16,268,49,0,37,826
ALABAMA,Baldwin County,Fairhope High Sch,Yes,ap,469,2,10,7,16,0,7,427
ALABAMA,Baldwin County,Fairhope High Sch,Yes,total,1569,7,22,130,70,0,40,1300
ALABAMA,Baldwin County,Foley High Sch,Yes,ap,369,0,5,34,31,0,10,289
ALABAMA,Baldwin County,Foley High Sch,Yes,total,1797,5,10,259,229,2,79,1213
ALABAMA,Baldwin County,Gulf Shores High Sch,Yes,ap,189,2,7,2,10,0,2,166
ALABAMA,Baldwin County,Gulf Shores High Sch,Yes,total,829,2,19,13,34,0,10,751
ALABAMA,Baldwin County,Robertsdale High Sch,Yes,ap,108,0,4,2,7,0,4,91
ALABAMA,Baldwin County,Robertsdale High Sch,Yes,total,1271,4,10,109,82,2,46,1018
ALABAMA,Baldwin County,Spanish Fort High Sch,Yes,ap,138,4,2,4,10,2,4,112
ALABAMA,Baldwin County,Spanish Fort High Sch,Yes,total,1102,4,16,103,55,4,40,880
ALABAMA,Barbour County,Barbour Co High Sch,Yes,ap,5,0,0,5,0,0,0,0
ALABAMA,Barbour County,Barbour Co High Sch,Yes,total,384,0,2,337,25,0,4,16
